concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, national, land use",USA-FED-DA-FS,,2004,0.4,,5.0,,,,,,"Forest land -""(a) the condition is at least 10-percent stocked by trees . . . of any size or has been at least 10-percent stocked in the past. Additionally, the condition is not subject to nonforest use(s) that prevent normal tree regeneration and succession such as regular mowing, intensive pruning"
"basic terms, forest/forest land, national, land use",USA-FED-DA-FS,,2007,0.4047,,,,,,,,"forest land—Land at least 120 feet wide and 1 acre in size with at least 10 percent cover (or equivalent stocking) by live trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas "
"basic terms, forest/forest land, national, land use",USA-FED-DA-FS,,,0.4047,,,,,,,,"Land currently growing forest trees of any size with a total stocking value of at least 16.7 (10 base 100 in the West), or lands formerly forested, currently capable of becoming forest land, and not currently developed for nonforest uses. These lands must be a minimum of 1 acre in area. Roadside, st"
"basic terms, forest/forest land, national, land use",USA-FED-DA-NRCS  &,,2002,0.4,,,,,,,,A land cover/use category that is at least 10 percent stocked by single-stemmed woody species of any size that will be at least 4 meters (13 feet) tall at maturity. Also included is land bearing evidence of natural regeneration of tree cover (cutover forest or abandoned farmland) and not currently d
"basic terms, forest/forest land, national, land use",USA-FED-DA-NRCS,,,0.4047,,,,,,,,A Land cover/use category that is at least 10 percent stocked by single –stemmed woody species of any size that will be at least 4 meters (13 feet) tall at maturity. Also included is land bearing evidence of natural regeneration of tree cover (cut over forest or abandoned farmland) and not currently
"basic terms, forest/forest land, national, land use",USA-FED-DA-SCS,,1980,0.4047,,,,,,,,"Land at least 10 percent stocked by forest trees of any size, or formerly having had such tree cover, and not currently developed for nonforest use. The minimum area is 1 acre and must be at least 100 feet wide. (Ten percent tree canopy cover is used to separate forest land from rangeland in the tra"
"basic terms, forest/forest land, national, land use",USA-FED-DA-SCS,,1982,,,10.0,,,,,,"Land at least 10 percent stocked by forest trees of any size, or formerly having had such tree cover and not currently developed for non-forest use. The minimum area for classification of forestland is one acre and must be at least 100 feet wide. Forestland is distinguished from rangeland in transit"
"basic terms, forest/forest land, national, land use",USA-FED-DI-GS,,1952,0.4047,,,,,,,,"Woods, Woodland). Areas 1 acre or greater containing tree cover or brush that is potential tree cover. The growth must be at least 6 feet tall and dense enough to impede foot travel or give cover for troops. Logged or burnt areas are classed as ""woods"" unless new growth is not going to be establishe"
"basic terms, forest/forest land, national, land use",USA-FED-DI-GS,,1976,,,10.0,,,,,,"Land which has a tree-crown areal- density (crown closure percentage) of 10 percent or more, is stocked with trees capable of producing timber or other wood products, and exerts an influence on the climate or water regime. Land from which trees have been removed to less than 10 percent crown closure"
"basic terms, forest/forest land, national, land use",USA-FED-DI-GS,,,0.4,,,,,,,,"Land currently supporting forest or land with potential to support forest that formerly had such tree cover and that will be naturally or artificially regenerated – Note 1) forest land includes (a) transition zones, such as areas between forested and non-forested lands that are at least 10 percent s"
"basic terms, forest/forest land, national, land use",USA-FED-DI-OSM,,,,,25.0,,,,,,"Land with at least 25 percent tree canopy or that has been stocked with at least 10 percent forest trees of any size, including land that formerly had such tree cover and that will be naturally or artificially reforested. and"
"basic terms, forest/forest land, national, land use",Vanatu  Proposed Definition,,2011,0.5,,10.0,,5.0,,,,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agriculture or urban use. Forest is determined both by the presence of trees and the "
"basic terms, forest/forest land, national, land use",,Viet Nam,2016,0.5,,10.0,,5.0,,,,"The definition of forests used for the construction of FREL/FRL for Vietnam, applies the definitions provided under Circular No. 34/2009/TT-BNNPTNT on criteria for forest identification and classification, defining forests as: minimum 10% tree cover, at a minimum height of 5 meters, over a minimum a"
"basic terms, forest/forest land, national, ecological",,Cambodia,2000,0.5,,,,,,,,"""Forest"" means natural ecosystems, land, water, plants, and micro-organisms etc. which are dominated by woody plants or bamboo of more than ten (10%) percent and has a size of 0.5 hectare or more, including dryland and wetland forest formations and any non-treed wetlands covering most part of land o"
"basic terms, forest/forest land, national, ecological",,Philippines,1972,250.0,,,,,,,,"Any untitled lands having slope greater than 18% are ""forestland"" (regardless of whether there have been any trees on them in generations!). Source: Presidential Decree 705 issued in 1972(?) (Todd R. Johnson - tjohnson@swift-elap.com.ph) The following lands, even if they are below eighteen percent ("
"basic terms, forest/forest land, national, ecological",,Trinidad and Tobago,2011,0.4,,,,,,,,Forests: are ecosystems occurring on areas of land with existing or potential tree canopy of at least 50% that cover a minimum land area of 0.4 ha. National Forest Policy
"basic terms, forest/forest land, national, ecological",Turkey,,2009,,,11.0,100.0,,,,,"GDF. A forest ecosystem is a natural unit consisting of all plants of which the main element is forest trees, animals and micro-organisms (biotic factors) in an area functioning together with all of the non-living physical (abiotic factors) factors of the environment. …The forest area in terms of cr"
"basic terms, forest/forest land, national, ecological",USA-FED-DA-NRCS,,,,,,,4.0,,,,"Forestland ecological sites are separated from rangeland ecological sites based on the historic climax plant community that occupied the site before the arrival of European settlers. An Ecological Site Type of ""Forestland"" is assigned and described where this historic vegetation was dominated by a 2"
"basic terms, forest/forest land, state, declared",USA-STATE-Alaska,,,,,10.0,,5.0,,,,"In the Preliminary Classification for Alaskan Vegetation, vegetation with at least a 10% crown cover by trees; i.e., single stemmed woody plants at least 5 m in height at maturity"
"basic terms, forest/forest land, state, declared",USA-STATE-Oregon,,1997,4.047,,,,,,,,"A parcel of land of more than 10 acres that has been zoned in the comprehensive plan for exclusive farm use, forest use or farm and forest use and that is, as of the assessment date for which value for the forest homesite is being determined: (A) Land that has as its highest and best use the growing"
"basic terms, forest/forest land, state, land cover",Queensland,Australia,,,,20.0,,,,,,"There are many definitions of what constitutes a forest or woody vegetation. A common definition used by foresters is 20 per cent crown cover which equates to approximately 12 per cent foliage projective cover (FPC) (NFI, 1998"
"basic terms, forest/forest land, state, land cover",Tasmania,Australia,,,,,,5.0,,,,Vegetation with trees more than 5 m high and more than 50% solid canopy cover
"basic terms, forest/forest land, state, land cover",Wallonie,Belgium,,0.5,,,,5.0,,20.0,,"A continuous tract over a large area where the dominant organisms are trees. Trees are of height >5m, tree crown cover of >10%, area >0.5ha and width >20m"
"basic terms, forest/forest land, state, land cover",Walloon Region,Belgium,1997,100.0,,,,,,,,Wooded areas 100 ha. (European Communities 1997a - p 94
"basic terms, forest/forest land, state, land cover",Walloon Region,Belgium,2000,100.0,,,,,,,,Voici notre définition de la forêt. On se rattache en fait à la Définition de la FAO utilisée pour les statistiques internationales sauf pour l'étendue minimale qui est de 10 ares (surface pouvant contenir notre grande placette) et la largeur minimale du peuplement qui est de 9m. Terrains avec un co
"basic terms, forest/forest land, state, land cover",Ontario,Canada,1998,,,34.0,,,,,,"Forest (including woodland) - A treed community with at least 34% tree cover. (Ecological Land Classification for southern Ontario, O.M.N.R., 1998"
"basic terms, forest/forest land, state, land cover",Ontario-Halton Region,Canada,,10.0,,,,,,,,"Forest means woodlands as defined by The Woodlands Improvement Act, covering a ground area of 10ha or more"
"basic terms, forest/forest land, state, land cover",Kafa Biosphere Reserve ?,Ethiopia,2012,0.05,1.0,,,2.0,5.0,,,"The forest definition of the Ethiopian government complies with the UNFCCC definition of a forest and can be used for the purposes of the Kyoto Protocol. 5 The UNFCCC defines a forest as an area of land 0.05–1 hectare in size, of which more than 10–30% is covered by tree canopy. Trees must also have"
"basic terms, forest/forest land, state, land cover",Madhya Pradesh,India,,10.0,,,,,,,,Forest (in context of private forest) as area of 10 hectare or more having at least 200 trees per hectare. Source: Narendra Kumar nkumar@bom6.vsnl.net.in
"basic terms, forest/forest land, state, land cover",UK-Great Britain,,,,,20.0,,,,,,20 % crown cover
"basic terms, forest/forest land, state, land cover",USA-STATE-Arizona-Santa Cruz Country,,2008,,,60.0,,,,,,Forest = over 60% tree cover
"basic terms, forest/forest land, state, land cover",USA-STATE-Hawaii,,,,,60.0,,,,,,"Closed forest--Generally, a unit of vegetation with overstory trees whose crowns are mostly touching. Plant communities with trees having a crown cover of 60 percent or more are considered closed forests"
"basic terms, forest/forest land, state, land cover",USA-STATE-Maine,,,2.0235,,,,,,,,Land 5 acres or greater dominated by the growth of forest trees and other woody vegetation
"basic terms, forest/forest land, state, land cover",USA-STATE-Maryland,,,0.4047,,,,,,,,"“Forest” means:(i) a biological community dominated by trees or other woody plants covering a land area of 1 acre or more, or (ii) an area that has been cut but not cleared of trees or other woody plants. and"
"basic terms, forest/forest land, state, land cover",USA-STATE-New,Mexico,2007,,,10.0,,,,,,“Forest” means an area of at least one acre with at least 10 percent tree crown cover. New Mexico. and
"basic terms, forest/forest land, state, land cover",USA-STATE-North Carolina,,1994,,,10.0,,,,,,Forest lands are covered with deciduous or coniferous woody vegetation about 3 meters or more in height. Forest lands exhibit a tree-crown area density of at least 10 percent. Lands from which trees have been removed to less than 10 percent crown density should be included in Category 3 (Herbaceous 
"basic terms, forest/forest land, state, land cover",USA-STATE-Texas,,,,,100.0,,,,,,Deciduous or evergreen trees dominant; mostly greater than 30 feet tall with closed crowns or nearly so (71 to 100 percent canopy cover); midstory generally apparent except in managed monoculture
"basic terms, forest/forest land, state, land cover",USA-STATE-Texas,,,,,,,4.0,,,,Trees with crowns overlapping (generally 60-100% cover) (woody veg > 4 m in height) www.tgic.state.tx.us/tgic/documents/plans/lulc-report.pdf
"basic terms, forest/forest land, state, land cover",USA-STATE-Virgin Islands,,,,,50.0,,,,,,"Closed tree canopy (Trees >5 m, canopy cover > 50%"
"basic terms, forest/forest land, state, land cover",USA-STATE-Virginia ?,,2002,,,60.0,,,,,,"Forest – vegetation dominated by trees (= 6m [20 ft] tall) producing a more or less closed canopy, typically with 60-100% cover; some forests may temporarily have < 60% canopy cover following disturbances such as windthrow, disease, etc"
"basic terms, forest/forest land, state, land cover",USA-STATE-Wyoming,,,,,10.0,,,,,,"Forest -We informally use the FS definition of >10% crown cover to define forest vs nonforest. To the best of my knowledge there is no definition either in statute or in any written documents. ""Howard Pickerd"" HPICKE@state.wy.us"
"basic terms, forest/forest land, state, land use",Flemmish Region,Belgium,1997,20.235,,,,,,,,"Wooded areas = 50 acres, width = 25 m, cover = 20 % (excepted for clear cutting or forest damages). (European Communities 1997a - p 112"
"basic terms, forest/forest land, state, land use",USA-FED-DA-FS-INT,,,0.4047,,5.0,,,,,,"Land that is at least 10 percent stocked by forest trees of any size (or 5 percent crown cover where stocking cannot be determined), or land formerly having such tree cover, and is not currently developed for a nonforest use. The minimum area for classification as forest land is one acre. Roadside, "
"basic terms, forest/forest land, state, land use",USA-FED-DA-FS-R8,,,0.4047,,,,,,,,"Land at least 10.0 percent stocked by forest trees of any size, or land formerly having such tree cover, and is not currently developed for non-forest use. The minimum area for classification of forestland is 1 acre. Roadside, streamside, and shelterbelt strips of timber must have a width of at leas"
"basic terms, forest/forest land, state, land use",USA-FED-EPA-R3,,,,,25.0,,,,,,"Land with at least 25 percent tree canopy or that has been stocked with at least 10 percent forest trees of any size, including land that formerly had such tree cover and that will be naturally or artificially reforested"
"basic terms, forest/forest land, state, land use",USA-STATE-Arkansas,,1995,0.4047,,,,,,,,"an area at least 1 acre in size that is at least 10 percent stocked with trees, or formerly having such tree cover and not currently developed for nonforest uses. Forest Inventory and Analysis definition - Forest Statistics for Arkansas Counties - 1995 Jim Grant jim.grant@mail.state.ar.us - no offic"
"basic terms, forest/forest land, state, land use",USA-STATE-California,,,,,10.0,,,,,,"‘‘Forest’’ means lands that support, or can support,’’ at least 10 percent tree canopy cover and that allow for management of one or more forest resources including timber, fish and wildlife, biodiversity, water quality, recreation, aesthetics and other public benefits. and"
"basic terms, forest/forest land, state, land use",USA-STATE-Florida-Hernando Co,,,8.094,,,,,,,,Must be a minimum of 20 acres in size and in planted pines or a predominantly natural stand of pines. A forestry management plan must be implemented and followed and a copy of the plan kept on file with the Property Appraiser's Office. Larger tracts will be reviewed and approved based on the merchan
"basic terms, forest/forest land, state, land use",USA-STATE-Hawaii-Kauai Co,,1988,0.4047,,,,,,,,Land at least 10 percent stocked with trees and not now developed for nonforest use; also includes land 50 percent or more covered by shrubs. The minimum area recognized as forest land is 1 acre. This land includes both timberland and other forest land (Buck et al. 1988
"basic terms, forest/forest land, state, land use",USA-STATE-Kansas,,,0.4047,,,,,,,,"Land at least 10% stocked by forest trees of any size, or formerly having such tree cover, and not currently developed for non-forest use. Stocking is measured by comparing specified standards with basal area and /or number of trees, age or size and spacing. The minimum area classification for fores"
"basic terms, forest/forest land, state, land use",USA—STATE-Maryland,,2007,0.4047,,,,,,,,"i) ""Forest"" means a biological community dominated by trees or other woody plants covering a land area of 1 acre or more.(ii) ""Forest"" includes an area that has been cut but not cleared of trees or other woody plants. Maryland 2007"
"basic terms, forest/forest land, state, land use",USA-STATE-Michigan,,,16.188,,,,,,,,"""Forest land"" means a tract of land or the timber rights in that land owned or occupied by a member, which land is at least 10% occupied by forest tree species with a growth potential of 50 cubic feet per acre per year and consists of 40 acres or more. Forest land includes land from which forest tre"
"basic terms, forest/forest land, state, land use",USA-STATE-Montana,,1996,6.0705,,,,,,,,"""Forest"" means forest land and the timber on the land. (5) ""Forest land"" means contiguous land of 15 acres or more in one ownership that is capable of producing timber that can be harvested in commercial quantity and is producing timber unless the trees have been removed by man through harvest, incl"
"basic terms, forest/forest land, state, land use",USA-STATE-Montana,,,6.0705,,,,,,,,"""Forest land"" means contiguous land of 15 acres or more in one ownership that is capable of producing timber that can be harvested in commercial quantity and is producing timber unless the trees have been removed by man through harvest, including clearcuts, or by natural disaster, including but not "
"basic terms, forest/forest land, state, land use",USA-STATE-North Carolina,,,8.094,,,,,,,,"Individually owned forestland consisting of one or more tracts, one of which consists of at least 20 acres that are in actual production and are not included in a farm unit"
"basic terms, forest/forest land, state, land use",USA-STATE-North Carolina-Counties,,,8.094,,,,,,,,"Forestland means land that is a part of a forest unit that is actively engaged in the commercial growing of trees under a sound management program. Forestland includes wasteland that is a part of the forest unit, but the wasteland included in the unit shall be appraised under the use value schedules"
"basic terms, forest/forest land, state, land use",USA-STATE-Oregon,,,4.047,,,,,,,,"“Forestland"" means forestland that is a parcel of land of more than 10 acres that has been zoned in the comprehensive plan for exclusive farm use, forest use or farm and forest use and that is, as of the assessment date for which value for the forest homesite is being determined: (a) Land that has a"
"basic terms, forest/forest land, state, land use",USA-STATE-Oregon,,,,,,,,,36.58,,"Land at least 10% stocked by forest trees of any size, including land that formerly had such tree cover and that will be regenerated. Strips of forest must have a crown width of 36.58 meters to qualify as forestland"
"basic terms, forest/forest land, state, land use",USA-STATE-South Dakota,,1998,0.4,,,,,,,,"Forest land: Land at least 10 percent stocked by forest trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes (a) transition zones, such as areas between forested and nonforested lands that are at least 10 per"
"basic terms, forest/forest land, state, land use",USA-STATE-Vermont,,,10.1175,,,,,,,,"9) ""Managed forest land"" means any land, exclusive of any housesite, which is at least 25 acres in size and which is under active forest management for the purpose of growing and harvesting repeated forest crops in accordance with accepted forest management practices. There shall be a presumption th"
"basic terms, forest/forest land, state, land use",USA-STATE-Virginia,,2000,0.4047,,10.0,,,,,,"Forestland is defined as lands with at least a stocking of 10% cover of live forest trees of any size, or formerly having such tree cover, and not currently developed for non-forest use. The minimum area for classification of forestland is usually 1 acre with a minimum width of 120 feet stem-to-stem"
"basic terms, forest/forest land, state, ecological",USA-STATE-California,,2002,,,10.0,,,,,,"‘‘Forest’’ means lands that support, or can support,’’ at least 10 percent tree canopy cover and that allow for management of one or more forest resources including timber, fish and wildlife, biodiversity, water quality, recreation, aesthetics and other public benefits"
"basic terms, forest/forest land, state, ecological",USA-STATE,Georgia,2003,,,10.0,,,,,,"'Forest' means lands that support, or can support, at least 10 percent tree canopy cover and that allow for management of one or more forest resources including but not limited to timber, fish and wildlife, biodiversity, water quality, air quality, soil conservation, recreation, aesthetics, or other"
"basic terms, tree, definitions",,Australia,,,,,,5.0,,,,"A woody plant at least 5 metres high, with a main axis the lower part of which is usually unbranched"
"basic terms, tree, definitions",NSW,Australia,,,,,,5.0,,,,A woody plant usually with a single distinct trunk and generally more than 5 m high
"basic terms, tree, definitions",Wallonie,Belgium,,,,,,5.0,,,,"A woody plant with a single main stem (the trunk), that is unbranched near the ground; some trees (e.g. oak, ([Quercus]) and ash ([Fraxinus])) have multi-trunked forms. At the end of each growing season there is no die-back of aerial parts, apart from the loss of foliage. Trees which are able to rea"
"basic terms, tree, definitions",Ontario-Guelph,Canada,,,,,,4.5,,,,“Tree” means and includes any Deciduous or Coniferous growing tree that has a minimum height of 4.5 metres (15 feet) and a minimum diameter or 75 millimetres (3 inches) at a point one metre above ground level
"basic terms, tree, definitions",,Cyprus,,,,,,5.0,,,,"A woody perennial plant, typically large and with a well-defined stem carrying a more or less definite crown and with a minimum height of 5 m. A.K. Christou ""Forestry Department - Research and Publicity Sector"" publicity@cytanet.com.cy"
"basic terms, tree, definitions",,Finland,,,,,,5.0,,,,"trees (5 m tall, clear trunk): Guide book for woody plants in Finland. Seppo Ruotsalainen <Seppo.Ruotsalainen@metla.fi"
"basic terms, tree, definitions",,Ireland,2014,,,,,5.0,,,,“tree” means a free standing woody perennial plant whose species has the potential to have a more or less definite crown and be capable of reaching a minimum height of 5 metres at maturity and includes a sapling and the species of birch and hazel
"basic terms, tree, definitions",,Lithuania,,,,,,11.0,,,,"A woody perennial plant, typically large and with a well defined stem or stem carrying a more or less definite crown, attaining a minimum diameter 14 cm and a minimum height 11 m at maturity. Source: A. Kuliesis, Director of Lithuanain Forest Inventory and Management Institute Email: Sekrtetore sek@"
"basic terms, tree, definitions",,Malaysia,1984,,,,,5.0,,,,"A wood perennial with a well-defined stem or trunk which supports a crown of branches and leaves (except in coppice management systems) and of a species which is usually capable of reaching a height of 5 meter at maturity in most of its distribution area. However, the legal definition under the Mala"
"basic terms, tree, definitions",SADC,,1997,,,,,5.0,,,,"Self-supporting, single stemmed for with a few definitive trunks branching about ground level. Woody plants typically +/- 5 m in height. (Trevett 1997"
"basic terms, tree, definitions",Science: botany,,,,,,,5.0,,,,"A woody plant at least 5 metres high, with a main stem the lower part of which is usually unbranched"
"basic terms, tree, definitions",,South Africa,,,,,,3.0,,,,A woody single stemmed plant more than 3m in height or a woody multi-stemmed plant more than 5m in height. From: Graeme Wild <GraemeW@za.sappi.com
"basic terms, tree, definitions",UN EP/EAP.AP,,,,,,,3.0,,,,Trees are woody plants land cover with a single well defined stem and more than 3 meters in height
"basic terms, tree, definitions",UN FAO,,1998,,,,,3.0,,,,"A woody perennial plant with a single well defined stem or, in the case of coppice, with several stems, carrying a more or less defined crown. Includes: a) bamboos, palms meeting the above criteria, b) trees as described above being at least 3 m tall, c) woody plants without a tree-like appearance b"
"basic terms, tree, definitions",UN FAO,,1998,,,,,3.0,,,,"A woody perennial plant with a single, well defined stem carrying a more-or-less-defined crown and being at least 3 m tall. Note: where a clear separation between trees and shrubs is too difficult to establish, a sub-condition of Height is applied: a woody plant higher than 5 m is classified as a Tr"
"basic terms, tree, definitions",USA-FED-DA-NRCS,,,,,,,4.0,,,,"For the purpose of developing ecological site descriptions, a woody-stemmed perennial plant, usually single stemmed, that can grow to 4 meters in height at maturity. and National Soil Survey Handbook"
"basic terms, tree, definitions",USA-FED-FGDC,,1997,,,,,5.0,,,,"Woody plants that generally have a single main stem and have more or less definite crowns. In instances where life form cannot be determined, woody plants equal to or greater than 5 m in height will be considered trees. [Source: ]"
"basic terms, tree, definitions",USA-FED-FGDC  Draft,,2007,,,,,5.0,,,,"A woody plant that generally has a single main stem and a more or less definite crown. In instances where growth form cannot be determined, woody plants equal to or greater than 5 m in height at maturity shall be considered trees (adapted from FGDC 1997). Includes dwarf trees (Tart et al. 2005b) or "
"basic terms, tree, definitions",20 ft,,,,,,,6.0,,,,"A large perennial woody plant. Though there is no set definition of size, it is generally at least 6 m high at maturity, and with branches supported on a single main stem. Compared with most other forms of plants, trees are long-lived"
"basic terms, tree, definitions",20 ft,,,,,,,6.0,,,,"A large perennial woody plant. Though there is no set definition of size, it is generally at least 6 m high at maturity, and with branches supported on a single main stem. Compared with most other forms of plants, trees are long-lived. A few species of trees grow to over 100 m (300 ft) tall and some"
"basic terms, tree, definitions",,,,,,,,3.0,,,,"A woody plant at least 3 metres high, usually with an evident trunk"
"basic terms, tree, definitions",metres,,,,,,,5.0,,,,"A woody plant at least 5 meters high, with a main stem the lower part of which is usually unbranched. and"
"basic terms, tree, definitions",20 ft,,,,,,,6.0,,,,"Perennial plant with woody stem - usually a single stem or trunk made up of wood and protected by an outer layer of bark. It absorbs water through a root system. There is no clear dividing line between shrubs and trees, but sometimes minimum height of 6 m is used to define a tree. Lindley and Moore "
"basic terms, tree, definitions",IPCC  GL FRA,,2006,0.5,,,,,,,,"Trees outside forests - Trees outside forests include all trees found outside forests and outside other wooded lands: - stands smaller than 0.5 ha; - tree cover in agricultural land, e.g. agroforestry systems, home gardens, orchards; - trees in urban environments; - along roads and scattered in the "
"basic terms, tree, definitions",13 ft,,,,,,,4.0,,,,"Woody plant with a distinct main stem, or trunk. At maturity, trees are usually the tallest of plants, and their height and single main stem differentiate them from shrubs, which are shorter and have many stems. Trees are perennials, plants that live for at least three years. Some species of tree on"
"basic terms, tree, definitions",,,,,,,,7.0,,,,"Woody plants greater than 7 meters tall, and usually with one main trunk"
"basic terms, tree, definitions",Lund,,1984,,,,,3.7,,,,Woody plants having a well-developed stem and which are usually more than 3.7 meters in height at maturity
"basic terms, tree, definitions, trees outside forest",FAO,,2003,0.5,,,,5.0,,,,Trees on land not defined as forest and other wooded land. Includes: trees on land that fulfils the requirements of forest and other wooded land except that the area is less than 0.5 ha; trees able to reach a height of at least 5 m at maturity in situ where the stocking level is below 5 percent; tre
"basic terms, woods, woodland, other wooded lands (owl)",Tasmania,Australia,,,,,,5.0,,,,"Vegetation with trees more than 5 m high, and solid canopy cover of between 5% and 50%"
"basic terms, woods, woodland, other wooded lands (owl)",,Canada,,,,25.0,,,,,,Wooded land with trees having over 25% canopy cover and being over 20 feet in height approximately. Much cutover and burned over land is included
"basic terms, woods, woodland, other wooded lands (owl)",Ontario,Canada,1990,,,34.0,,,,,,"“woodlands” means land with at least, (a) 1,000 trees, of any size, per hectare, (b) 750 trees, measuring over five centimetres in diameter, per hectare, (c) 500 trees, measuring over 12 centimetres in diameter, per hectare, or (d) 250 trees, measuring over 20 centimetres in diameter, per hectare, u"
"basic terms, woods, woodland, other wooded lands (owl)",Ontario-Peel Region,Canada,,0.5,,,,,,40.0,,"Woodlands are complex ecosystems comprised of communities of trees, shrubs, ground vegetation and immediate environmental conditions on which they depend. Woodlands are further defined as any area greater than 0.5 ha that has:a) a tree crown cover of over 60% of the ground, determinable from aerial "
"basic terms, woods, woodland, other wooded lands (owl)",EU,,,,,,,18.0,,,,"Open stand of trees up to approximately 18 metres in height in which tree crowns cover at least 30 per cent of the land area but are, for the most part, not overlapping and"
"basic terms, woods, woodland, other wooded lands (owl)",,France,2011,4.0,,,,,,,,"Woods: Area of woodland exceeding 4 hectares with trees able to reach a height greater than 5 meters at maturity in situ, a tree canopy cover of more than 10% and a width of at least 20 meters. Woods are part of the forest area (NFI new inventory method) (2011"
"basic terms, woods, woodland, other wooded lands (owl)",ICSU,,,,,50.0,100.0,,,,,"Woodlands have 50-100% tree canopy cover by trees, and a sometimes sparse, but always significant gramineous layer"
"basic terms, woods, woodland, other wooded lands (owl)",Remote Sensing,,,,,5.0,20.0,,,,,"Area with tree crown cover of 5-20% of the surface. Trees should be able to grow to a height of more than 7 m (Koehl and Paivinen 1996) Woodlands, almost exclusively of Aleppo Pine, with at least 20% ground cover by trees"
"basic terms, woods, woodland, other wooded lands (owl)",,South Africa,,,,40.0,99.0,,,,,"40-99% canopy cover, usually a tree layer, shrub layer and grass layer, typically 6m or more tall; regular fires"
"basic terms, woods, woodland, other wooded lands (owl)",,Sweden,,0.25,,,,,,,,a quarter of the land with a tree crown ranging from 1-20 percent and areas larger than 0.25 ha. For FRA 2000 - Source: UN/ECE 2000 p 87
"basic terms, woods, woodland, other wooded lands (owl)",Tanzania,,,,,10.0,40.0,,,,,"10 - 40 % crown cover (Iversen 1991) and dominant height less than 10 meters. Source: Kari Hyytiaeinen, Land Use Classification and Mapping for the East Usambara Mountains, Usambara Catchment Forest Project, Technical Paper No. 12, Department of International Development Co-optation, Finland, Metsae"
"basic terms, woods, woodland, other wooded lands (owl)",,Uganda,2017,,,40.0,,,,,,Wooded areas where trees and shrubs are predominant. There are wet and dry types. The wet type occurs as a zone along wetlands (riverine forest) and the dry type is found on grass-covered upland areas. To qualify as woodland the average height of the trees must exceed 4 m.” Woodland can be categoriz
"basic terms, woods, woodland, other wooded lands (owl)",UN-EP,,,0.5,,5.0,10.0,,,,,"Wooded land, which is not classified as forest, spanning more than 0.5 hectares, with trees higher than 5 metres and a canopy cover of 5-10 per cent, or trees able to reach these thresholds in situ, or with a combined cover of shrubs, bushes and trees above 10 per cent. It does not include areas use"
"basic terms, woods, woodland, other wooded lands (owl)",UN-ESCO,,1993,,,,,8.0,,,,Scrub woodland. Stunted woodland less than 8 m tall or vegetation intermediate between woodland and bushland
"basic terms, woods, woodland, other wooded lands (owl)",UN-ESCO,,1993,,,40.0,,8.0,,,,Woodland. An open stand of trees at least 8 m tall with a canopy cover of 40% or more. The field layer is usually dominated by grasses
"basic terms, woods, woodland, other wooded lands (owl)","UN-FAO-,",,2000,0.5,,,,5.0,,20.0,,"‘‘Wodland’’ refers to the type of land cover characterized by trees and shrubs: ‘‘other wooded land.’’ Other wooded land, or OWL, is defined by FRA-2000 as land with a tree crown cover (or equivalent stocking level) of 5–10% of trees able to reach a height of 5 meters at maturity, a crown cover of m"
"basic terms, woods, woodland, other wooded lands (owl)",UN-FAO,,2004,0.5,,,,,,,,"all trees found outside forests and outside other wooded lands: stands smaller than 0.5 ha; tree cover in agricultural land, e.g. agroforestry systems, homegardens, orchards; trees in urban environments; along roads and scattered in the landscape"
"basic terms, woods, woodland, other wooded lands (owl)","UN-FAO-,",,2004,0.5,,5.0,10.0,,,,,"Land not classified as Forest, spanning more than 0.5 hectares; with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ; or with a combined cover of shrubs, bushes and trees above 10 percent. It does not include land that is predominantly u"
"basic terms, woods, woodland, other wooded lands (owl)",UN-FAO,,2005,,,5.0,10.0,5.0,,,,Other wooded land is land with: (i) crown cover of 5–10% for trees able to reach a height of 5 metres or more at maturity; or (ii) crown cover of more than 10% for trees not able to reach a height of 5 metres at maturity; or (iii) shrub or bush cover of more than 10%
"basic terms, woods, woodland, other wooded lands (owl)",UN-FAO,,2010,0.5,,5.0,10.0,,,,,"Land not classified as “Forest”, spanning more than 0.5 hectares; with trees higher than 5 meters and a canopy cover of 5-10 percent, or trees able to reach these thresholds in situ; or with a combined cover of shrubs, bushes and trees above 10 percent. It does not include land that is predominantly"
"basic terms, woods, woodland, other wooded lands (owl)",UN-FRA- Proposed,,2010,0.5,,,,2.0,,,,"Land with tree canopy cover of more than 5 percent and area of more than 0.5 hectares. Trees, defined by Ecoregion, should be able to reach a minimum height of 2m at maturity in situ. Generally, woodland trees will not excede 5m in height at maturity. Source: Brad Smith, USDA Forest Service, May 200"
"basic terms, woods, woodland, other wooded lands (owl)",UN-HCR,,2005,,,,,18.0,,,,"Open stand of trees up to approximately 18 metres in height in which tree crowns cover at least 30 per cent of the land area but are, generally, not overlapping. . UNHCR 2005"
"basic terms, woods, woodland, other wooded lands (owl)",,United Kingdom,,,,25.0,,5.0,,,,"An area of trees, where a tree is a woody species capable of achieving >5m in height and 25% canopy cover under favourable growing conditions"
